iter	Passed	Remaining
903	12131	1288
904	12142	1274
905	12155	1261
906	12169	1247
907	12183	1234
908	12197	1221
909	12210	1207
910	12223	1194
911	12238	1180
912	12250	1167
913	12262	1153
914	12274	1140
915	12286	1126
916	12298	1113
917	12310	1099
918	12322	1086
919	12334	1072
920	12345	1058
921	12357	1045
922	12369	1031
923	12380	1018
924	12392	1004
925	12405	991
926	12417	977
927	12429	964
928	12441	950
929	12452	937
930	12465	923
931	12480	910
932	12494	897
933	12507	883
934	12521	870
935	12533	856
936	12546	843
937	12558	830
938	12570	816
939	12585	803
940	12596	789
941	12609	776
942	12621	762
943	12633	749
944	12644	735
945	12656	722
946	12668	709
947	12680	695
948	12692	682
949	12704	668
950	12717	655
951	12729	641
952	12740	628
953	12752	614
954	12764	601
955	12777	588
956	12790	574
957	12804	561
958	12819	548
959	12833	534
960	12845	521
961	12858	507
962	12870	494
963	12882	481
964	12894	467
965	12905	454
966	12918	440
967	12930	427
968	12942	414
969	12953	400
970	12964	387
971	12978	373
972	12990	360
973	13002	347
974	13013	333
975	13025	320
976	13038	306
977	13050	293
978	13062	280
979	13075	266
980	13089	253
981	13103	240
982	13118	226
983	13133	213
984	13146	200
985	13159	186
986	13171	173
987	13182	160
988	13194	146
989	13205	133
990	13217	120
991	13229	106
992	13241	93
993	13253	80
994	13265	66
995	13277	53
996	13288	39
997	13299	26
998	13312	13
999	13324	0
