latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
19.06083,95.67274,331.02,0.56,0.43,2026-02-14,635,N,low,2.0NRT,304.82,14.86,D
18.79833,94.20546,340.35,0.46,0.47,2026-02-14,635,N,nominal,2.0NRT,304.12,6.77,D
19.06125,95.60665,343.81,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,310.36,8.29,D
19.06031,95.60133,356.26,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,313.64,8.29,D
19.07176,95.64304,336.56,0.56,0.43,2026-02-14,635,N,low,2.0NRT,307.02,10.77,D
19.07081,95.63766,337.68,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,307.12,5.99,D
19.06518,95.6059,348.98,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,311.43,8.29,D
19.06425,95.60061,339.89,0.56,0.43,2026-02-14,635,N,low,2.0NRT,312.98,8.29,D
19.05945,95.67022,345.5,0.55,0.43,2026-02-14,635,N,nominal,2.0NRT,307.11,16.36,D
19.06627,95.64124,335.19,0.56,0.43,2026-02-14,635,N,low,2.0NRT,307.21,5.2,D
19.06338,95.60354,367.0,0.56,0.43,2026-02-14,635,N,high,2.0NRT,315.82,11.6,D
19.07117,95.64587,337.26,0.56,0.43,2026-02-14,635,N,low,2.0NRT,308.01,7.35,D
19.07019,95.64053,342.92,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,307.15,8.98,D
19.06238,95.59815,352.85,0.56,0.43,2026-02-14,635,N,nominal,2.0NRT,312.21,10.09,D
18.97949,95.1518,339.52,0.4,0.44,2026-02-14,635,N,nominal,2.0NRT,307.29,5.54,D
